Index,arXiv ID,Keywords
1,2406.14490v1,"Large N vector models, Finite chemical potential, Thermal one point function, U(N) complex scalars, Quartic potential, U(N) Gross-Neveu model, Euclidean inversion formula, Odd space-time dimensions , Finite temperature, Critical Gross-Neveu model"
2,2406.14450v1,"Relativistic, Superheated bubbles, Neutron star mergers, First-order phase transitions, Quantum Chromodynamics, Hydrodynamic regime, Pressure, Metastable regions, Conserved charge, Gravitational wave production"
3,2406.14419v1,"QCD (Quantum Chromodynamics), Magnetic field, Chiral soliton lattice (CSL), Skyrmion phase, Witten's method, Wess-Zumino-Witten (WZW) term, Spin statistics, Pancke soliton, Domain-wall Skyrmion, Surgeries"
4,2406.14357v1,"Black holes, Electroweak hair, Magnetically charged, Reissner-Nordström (RN) family, Electroweak condensate, Superconducting W-currents, Magnetic charge, Zeeman energy, Phase transition, Gravity-coupled Weinberg-Salam theory"
5,2406.14320v1,"Anyon condensation, Mixed-state topological order, Pre-modular fusion categories, Étale algebras, Bootstrap analysis, Non-invertible anyons, Pure-state topological orders, Topological invariants, Equivalence classes, Successive condensations"
6,2406.14203v1,"Quivers, Wilson loops, 't Hooft couplings, Localisation matrix model, Wigner semicircles, Double scaling limit, Strong coupling regime, Dynamics, Fifth dimension, Integro-differential equation"
7,2406.14148v1,"Massive spin three-half field, Electromagnetic background, Higher-spin fields, Interactions, Gravitational interactions, Elementary particles, Action, Chiral approach, Consistent interactions, Massive spin particles"
8,2406.14146v1,"Renormalization, Metric-Affine Gravity, Renormalization group, Gravitational theories, Affine connection, Torsion, Nonmetricity, Yang-Mills-like action, Quadratic in curvature, Beta function"
9,2406.14019v1,"Hamiltonian formulation, String theory, First-class constraints, Lagrangian symmetry transformations, Polyakov string, Diffeomorphism, Weyl symmetries, Castellani's procedure, Reparametrization, General covariance"
10,2406.13949v1,"Entanglement island, Page curve, Hawking radiation, Rotating Kerr black holes, Information paradox, Island rule, Scalar field theory, Black hole horizon, Bekenstein-Hawking entropy, Scrambling time"
11,2406.13792v1,"Holographic , Quarkonium, Yang-Mills-dilaton black holes, AdS/CFT correspondence, Dynamical exponent, Hyperscaling violation parameter, Yang-Mills charge, Dissociation length, Thermal width, Melting process"
12,2406.13784v1,"Weak cosmic censorship conjecture (WCCC), Reissner-Nordstrom (R-N) AdS black hole, Restricted phase space thermodynamics (RPST), Weak gravity conjecture (WGC), Energy flux, Equivalence mass-energy principle, First law of thermodynamics, Second law of thermodynamics, Superradiance, Extremal black holes"
13,2406.13751v1,"de Sitter Vacua, Type IIB string theory, Compactifications, Kachru-Kallosh-Linde-Trivedi, Calabi-Yau orientifolds, Quantized fluxes, Four-dimensional effective supergravity theories, Flux superpotential, Euclidean D3-branes, Metastable de Sitter vacuum"
14,2406.13741v1,"Integrable , Conformal Defects , N=4 SYM theory , Vacuum Expectation Value , Dirichlet Boundary Conditions , AdS/CFT Correspondence , Fuzzy Spheres , Matrix Product States , Quantum Field Theoretic , Mass Matrix"
15,2406.13739v1,"Quantum K theory, Quantum cohomology, Grassmannians, Givental, Lee, Abelian correspondence, Nonabelian correspondence, Twisted variant, Quantum K pairing, Supersymmetric localization"
16,2406.13737v1,"Born regime, Gravitational amplitudes, Scattering, Quantum field theory, Feynman diagram expansion, Geometric series, Effective-one-body (EOB) Schrödinger equation, Relativistic, Regge-Wheeler equation, Kerr black hole"
17,2406.13738v1,"Instantons, Abelian gauge theory, QED_4, Dirac fermions, 't Hooft-Polyakov monopole, Topological instanton number, 't Hooft zero modes, Path integral, Callan-Rubakov process, Baryon decay"
